Gender,Business,Age,Salary,Dependancies,Months,Calls,Type,Billing,Unit_Sales,Total_Sales,Rating,Bonus,BasePay,Unit_Price,Volume,openingbalance,closingbalance,low
Female,1,41,164040.94,No,8,Yes,Month-to-month,Yes,80.65,633.3,Yes,28988.36,140546.88,122.910004,711400,121.029999,121.470001,120.720001
Female,1,42,40014.76,Yes,60,Yes,One year,Yes,74.85,4456.35,No,18310.77,140546.89,121.470001,444200,121.470001,119.379997,119.099998
Male,1,43,113410.49,No,18,Yes,Month-to-month,Yes,95.45,1752.55,Yes,15004.37,226206.8,119.440002,534100,118.889999,119.410004,117.639999
Female,0,45,87107.57,Yes,63,Yes,One year,Yes,99.65,6311.2,No,114.37,240731.93,120.879997,798200,119.510002,118.720001,118
Male,1,19,45613.75,Yes,66,Yes,One year,Yes,108.45,7076.35,No,22608.3,217410.8,118.93,591000,117.989998,117.980003,117.019997
Female,0,66,1643.11,Yes,34,Yes,Two year,No,24.95,894.3,No,19016.4,115381.02,119.669998,443200,118.400002,118.739998,118.120003
Female,0,51,46775.28,No,72,Yes,Two year,Yes,107.5,7853.7,No,14972.45,214745.44,119.339996,578000,118.779999,118.660004,117.860001
Female,0,35,84509.57,No,47,Yes,Month-to-month,Yes,100.5,4707.1,No,16113.62,123105,120.339996,765100,118.080002,119.93,117.029999
Male,0,27,126494.82,No,60,Yes,Month-to-month,Yes,89.9,5450.7,No,128543.64,102571.24,120.349998,514300,119.660004,117.650002,117.379997
Male,0,33,178798.13,No,72,No,Two year,No,42.1,2962,No,17542.29,140546.86,116.440002,1150000,116.400002,114.07,113.25
Female,0,56,99398.36,Yes,18,Yes,One year,Yes,54.4,957.1,No,15444.38,168692.62,115.610001,2035300,114.089996,115.470001,113.730003
Female,0,26,92840.67,No,9,Yes,Month-to-month,No,94.4,857.25,Yes,21889.67,148970.43,115.269997,702200,114.739998,113.540001,113.339996
Female,0,36,27758.36,No,3,Yes,Month-to-month,Yes,75.3,244.1,No,14465.53,185369.69,115,689100,114.879997,113.410004,112.589996
Male,0,34,110431.51,No,47,Yes,One year,Yes,78.9,3650.35,No,22785.08,177914.76,115.949997,553200,114.110001,114.639999,114.110001
Female,0,43,196673.28,No,31,Yes,Two year,No,79.2,2497.2,No,31070.15,139167.39,115.989998,775900,114.989998,115.790001,114.75
Female,0,35,113656.85,Yes,50,Yes,Two year,No,20.15,930.9,No,113226.92,122974,118.010002,621700,115.809998,117.989998,115.099998
Male,0,21,18203,No,10,Yes,Month-to-month,Yes,79.85,887.35,No,14776.81,115455.44,119.68,358100,118.160004,117.720001,117.169998
Male,0,58,28373.86,No,1,Yes,Month-to-month,No,49.05,49.05,No,13864.99,220983.12,118.800003,939300,117.5,118.449997,115.93
Female,0,29,33953.87,Yes,52,Yes,One year,Yes,20.4,1090.65,No,135684.25,92782.61,121.269997,735500,118.32,121.260002,117.510002
Male,1,37,44203.55,Yes,64,Yes,Two year,Yes,111.6,7099,No,18743.9,95770.8,122.419998,924600,121.349998,121.68,121.169998
Male,0,25,58426.81,Yes,62,Yes,Two year,Yes,24.25,1424.6,No,0,233357.28,122.459999,658800,121.099998,122.309998,121.019997
Female,0,36,145562.4,Yes,3,Yes,Month-to-month,Yes,64.5,177.4,No,50380.44,130457.88,124.129997,1055400,122.610001,123.010002,121.93
Female,1,21,22388,No,56,Yes,One year,No,110.5,6139.5,No,104030.1,85578.61,124.739998,695300,123.480003,123.790001,122.580002
Female,0,55,139161.64,No,46,Yes,One year,No,55.65,2688.85,No,40258.39,174872.64,124,460000,123.199997,123.300003,122.169998
Female,0,32,148210.64,Yes,8,Yes,Month-to-month,No,54.65,482.25,No,139279.69,73754.05,124.459999,532900,123.959999,124.400002,123.160004
Male,1,33,194239.63,No,30,Yes,Month-to-month,Yes,74.75,2111.3,No,28821.55,140546.88,124.989998,462600,124.589996,124.690002,123.129997
Female,0,41,98301.61,Yes,45,Yes,One year,Yes,25.9,1216.6,No,27802.89,168692.62,124.620003,910700,123.540001,124.150002,122.68
Female,0,34,171413.66,Yes,1,Yes,Month-to-month,Yes,79.35,79.35,Yes,58776.96,172529.08,125.169998,889600,123.800003,124.900002,122.050003
Female,0,32,136458.19,Yes,11,No,Month-to-month,No,50.55,565.35,No,18238.75,122272.69,126.739998,734700,125.440002,125.959999,124.800003
Female,0,36,26019.59,No,7,Yes,Month-to-month,Yes,75.15,496.9,Yes,21055.17,168692.62,126.43,1304800,124.559998,126.269997,123.660004
Female,0,34,159235.29,No,42,Yes,Month-to-month,Yes,103.8,4327.5,No,0,230827.12,126.779999,1597300,125.389999,126.559998,124.970001
Female,0,46,1907.66,No,49,Yes,Two year,Yes,20.15,973.35,No,13216.41,217410.8,127.790001,1917500,126.660004,127.660004,126.199997
Male,0,75,114675.75,No,9,Yes,Month-to-month,Yes,99.3,918.75,No,15371.07,122404.98,127.360001,3221500,127.360001,121.559998,121.239998
Female,0,22,128643.35,No,35,Yes,One year,Yes,62.15,2215.45,No,30180.49,150464.82,123.639999,919800,122.279999,123.440002,121.199997
Female,0,30,151869.35,Yes,48,Yes,Two year,No,20.65,1057,No,133563.47,96814.36,125.989998,1991600,123.889999,125.510002,122.809998
Female,0,46,93251.42,Yes,46,Yes,Two year,Yes,19.95,927.1,No,7018.6,88062,125.940002,594800,125.699997,124.209999,124.07
Male,0,28,156791.36,No,29,No,Month-to-month,No,33.75,1009.25,No,59427.12,138878.82,124.57,475800,124.440002,123.889999,122.010002
Male,0,44,174205.22,Yes,30,Yes,Month-to-month,No,82.05,2570.2,No,18764.67,188842.37,126.269997,715100,123.910004,122.970001,122.75
Male,1,45,147132.46,No,1,Yes,Month-to-month,No,74.7,74.7,No,118456.21,102722.4,124.610001,528500,123.120003,123.910004,122.870003
Male,0,36,109614.57,Yes,66,Yes,Two year,Yes,84,5714.25,No,27303.11,149362.84,124.169998,580000,123.400002,123.410004,121.139999
Female,0,29,172290.61,No,65,Yes,Month-to-month,Yes,111.05,7107,No,12293.83,215914.03,125.400002,629700,123.220001,125.269997,122.519997
Male,0,42,85982.47,No,72,Yes,Two year,Yes,100.9,7459.05,No,25434.68,168692.62,125.470001,598200,124.519997,125.120003,122.690002
Female,0,35,121277.78,No,12,Yes,Month-to-month,Yes,78.95,927.35,Yes,12000,215180.76,125.769997,816700,125.150002,125.57,123.900002
Male,0,41,64595.25,Yes,71,Yes,One year,Yes,66.85,4748.7,No,12615.6,208925.6,126.230003,640800,125.480003,125.949997,124.760002
Male,0,29,197276.13,No,5,Yes,Month-to-month,No,21.05,113.85,Yes,22261.95,168692.67,127.080002,761100,126.129997,126.620003,125.169998
Male,0,22,99645.04,No,52,Yes,Two year,No,21,1107.2,No,15315.61,122404.98,128.059998,462100,127.080002,126.459999,125.940002
Female,1,34,6534.18,No,25,Yes,Month-to-month,Yes,98.5,2514.5,Yes,0,224035.85,126.980003,627000,126.360001,126.610001,125.419998
Male,0,40,161848.03,No,1,Yes,Month-to-month,No,20.2,20.2,No,21502.83,168692.65,127.989998,722500,126.510002,127.910004,126.120003
Female,0,44,167162.43,Yes,1,Yes,Month-to-month,No,19.45,19.45,No,16054.24,123105,128.690002,1384200,128.5,128.020004,127.190002
Male,0,31,41970.72,No,38,Yes,One year,No,95,3605.6,No,18890.96,105934.69,128.139999,441500,127.669998,128.070007,126.75
Female,1,36,60536.56,No,66,No,One year,No,45.55,3027.25,No,7228.67,88400.7,128.830002,423600,127.989998,128.75,126.970001
Male,0,65,177655.68,No,68,Yes,Two year,Yes,110,7611.85,Yes,18760.77,105934.64,127.849998,496700,127.809998,127.480003,126.010002
Male,0,46,30984.59,No,5,No,Month-to-month,No,24.3,100.2,No,27043.61,110474.93,128.75,536700,127.699997,127.68,124.660004
Female,0,32,10054.53,Yes,72,Yes,One year,Yes,104.15,7303.05,No,36682.96,149362.86,129.699997,429400,128.050003,129.25,127.690002
Female,0,36,36976.52,No,32,No,One year,No,30.15,927.65,No,32080.36,188708,129.410004,719100,128.990005,129.029999,128.029999
Male,0,33,71862.79,No,43,Yes,One year,No,94.35,3921.3,No,32080.36,188708,129.669998,394500,128.729996,129.580002,128.139999
Male,0,35,99449.86,Yes,72,Yes,Two year,No,19.4,1363.25,No,18655.85,105934.67,128.940002,548000,128.869995,127.010002,126.300003
Male,0,30,63082.88,No,55,Yes,Month-to-month,Yes,96.75,5238.9,Yes,10921.33,206057.69,127.650002,263300,127.099998,125.470001,125.309998
Female,0,39,27231.26,No,52,Yes,One year,No,57.95,3042.25,No,98578.97,63811.18,125.699997,329300,124.720001,124.959999,123.940002
Female,0,42,86797.41,No,43,Yes,Month-to-month,Yes,91.65,3954.1,No,237,220115.22,125.949997,378700,125.949997,124.139999,123.699997
Female,1,36,22994.32,No,37,Yes,Month-to-month,Yes,76.5,2868.15,Yes,31572.3,188708,124.870003,404800,123.339996,124.839996,122.75
Female,0,28,101300.94,Yes,64,No,Two year,Yes,54.6,3423.5,No,11893.84,88400.7,125.75,659300,124.669998,125.330002,123.43
Male,0,30,74169.13,Yes,3,Yes,Month-to-month,No,89.85,248.4,No,8383.77,121628.34,128.259995,550300,126.510002,126.269997,126.089996
Female,0,37,115638.29,No,36,No,Two year,No,31.05,1126.35,No,0,219804.34,127.43,485600,126.540001,127.330002,125.349998
Female,0,41,31766.3,Yes,10,Yes,Month-to-month,Yes,100.25,1064.65,Yes,28658.16,191054.19,127.910004,561900,127.089996,126.489998,126.330002
Female,0,31,199725.39,No,41,Yes,Two year,No,20.65,835.15,No,25995.01,150432.85,127.940002,512300,127.940002,127.650002,126.599998
Male,0,34,120834.48,Yes,27,Yes,Month-to-month,Yes,85.2,2151.6,No,39029.76,179648,121.25,1638000,121,117.010002,115.93
Female,0,34,38131.77,Yes,56,Yes,One year,Yes,99.8,5515.45,No,25564.1,140546.88,116.080002,884400,114.660004,113.400002,112.989998
Female,0,39,100130.95,No,6,Yes,Month-to-month,No,20.7,112.75,No,9561.44,203658.55,117.629997,795200,113.809998,117.559998,113.639999
Male,0,39,141069.88,No,3,Yes,Month-to-month,Yes,74.4,229.55,Yes,15646.15,122594,121.010002,1049700,118.339996,121,118.050003
Female,0,48,198129.36,Yes,7,Yes,Month-to-month,No,50.7,350.35,No,28921.31,188889.44,124.43,1162100,121.360001,124.309998,120.07
Female,0,28,183646.41,Yes,4,Yes,Month-to-month,No,20.85,62.9,No,2784.61,88062,125.510002,858400,124.480003,124,122.68
Male,0,42,110265.24,No,33,Yes,Two year,Yes,88.95,3027.65,No,4651.44,185369.68,123.540001,761400,120.190002,123.480003,120.190002
Female,1,52,8636.05,No,27,Yes,Month-to-month,Yes,78.05,2135.5,Yes,13712.8,192170.93,124.989998,749900,123.32,124.870003,122.660004
Male,0,56,46824.08,No,72,Yes,Two year,Yes,23.55,1723.95,No,25855.73,168692.63,125.480003,591100,124.279999,124.440002,123.980003
Male,0,41,171378.77,No,1,Yes,Month-to-month,No,19.75,19.75,No,17823.03,140546.85,126.040001,692800,126.040001,125.059998,124.599998
Male,1,24,167256.35,No,71,No,One year,Yes,56.45,3985.35,No,16054.2,123105,126.110001,482600,125.099998,125.519997,124.040001
Female,0,34,124226.16,No,13,Yes,Month-to-month,Yes,85.95,1215.65,No,57667.12,158603.68,127.32,844000,125.889999,127.199997,125.370003
Female,0,33,114935.21,Yes,25,No,Month-to-month,Yes,58.6,1502.65,Yes,30952.65,141648.87,127.739998,630000,127.610001,126.419998,126.150002
Male,0,38,35608.88,No,67,Yes,Two year,No,50.55,3260.1,No,0,215799.48,127.68,567100,127.620003,126.040001,125.980003
Male,0,25,16459.37,No,1,No,Month-to-month,Yes,35.45,35.45,Yes,61531.43,149044.93,126.400002,512200,126.400002,124.589996,124.07
Male,0,39,124411.08,No,2,Yes,Month-to-month,No,44.35,81.25,Yes,20744.06,166203.84,124.830002,462200,124.830002,123.980003,123.620003
Female,0,50,34941.23,No,43,Yes,Two year,Yes,25.7,1188.2,No,25491.13,123416.25,124.529999,706100,123.199997,124.169998,122.860001
Female,0,34,167784.28,No,23,Yes,Month-to-month,Yes,75,1778.5,No,32949.41,182368.79,124.57,533900,124.510002,124,121.690002
Female,0,40,93165.34,Yes,64,Yes,Two year,No,20.2,1277.75,No,0,215180.75,124.5,374700,123.68,123.330002,123.050003
Male,0,48,75161.25,Yes,57,Yes,Two year,Yes,19.6,1170.55,No,1080.96,213907.72,124.059998,373800,123.220001,123.940002,122.599998
Female,1,35,8590.83,No,1,Yes,Month-to-month,Yes,70.45,70.45,Yes,1080.96,213907.72,124.239998,365700,123.57,124,123.07
Female,1,44,189543.9,Yes,72,Yes,Two year,Yes,88.05,6425.65,No,1080.96,213907.72,125.169998,313900,124.290001,123.760002,123.589996
Female,0,34,180427.24,No,8,Yes,Month-to-month,No,71.15,563.65,Yes,17583.73,123105,124.620003,401000,123.830002,124.269997,123.160004
Female,0,43,193318.33,No,61,Yes,Two year,Yes,101.05,5971.25,No,82029.92,130481.53,124.300003,275500,124.010002,123.739998,123.389999
Male,0,52,159123.82,No,64,Yes,One year,Yes,84.3,5289.05,No,12306.26,105934.63,124.050003,426700,123.419998,123.620003,122.839996
Male,1,31,126213.84,No,71,Yes,Two year,No,23.95,1756.2,No,8377.03,206438.88,125.330002,574600,123.870003,123.839996,123.68
Female,0,21,54141.5,Yes,65,Yes,Two year,Yes,99.05,6416.7,No,20429.43,140546.63,124.160004,793200,123.610001,123.169998,122.980003
Male,0,29,141075.51,No,3,Yes,One year,No,19.6,61.35,No,31116.8,183040,124.480003,446900,123.510002,123.82,123.410004
Male,0,37,24495.03,No,1,Yes,Month-to-month,Yes,45.65,45.65,Yes,17596.3,105934.69,126,766700,123.559998,124.089996,123.559998
Male,0,44,74836.34,Yes,30,Yes,One year,No,64.5,1929.95,No,46665.54,167070.08,123.080002,1865200,121.730003,119.919998,118.260002
Male,0,32,878.87,Yes,15,Yes,Month-to-month,Yes,69.5,1071.4,No,30619.46,183040,121.419998,930800,119.57,120.589996,118.080002
Female,0,32,89520.75,Yes,8,Yes,Month-to-month,Yes,68.55,564.35,No,18117.8,105934.64,121.580002,502700,120.290001,121.230003,118.900002
Male,0,48,149892.79,No,7,Yes,Month-to-month,No,95,655.5,Yes,31449.4,181502.08,122.43,709700,121.650002,121.82,121.029999
Female,0,42,180800.42,Yes,70,Yes,One year,Yes,108.15,7930.55,No,37804.9,173842.63,122.980003,563900,121.860001,122.75,121.849998
Male,0,37,98646.22,Yes,62,Yes,Two year,No,86.1,5215.25,No,18236.44,140546.88,122.830002,342900,122.510002,121.470001,121.07
Female,0,43,109041.53,Yes,6,Yes,Month-to-month,No,19.7,113.5,No,13544.56,86840,122.230003,478800,122,121.529999,121.370003
Female,0,57,17941.16,Yes,14,Yes,Month-to-month,Yes,80.9,1152.8,No,6235.28,149050.69,121.980003,501800,121.370003,121.480003,120.5
Female,0,33,82996.47,No,22,Yes,Month-to-month,Yes,84.15,1821.95,No,86590.93,82235.56,122.220001,410300,121.900002,121.93,121.440002
Male,0,28,92067.35,Yes,22,Yes,One year,No,20.15,419.9,No,11000.84,182134.81,122.730003,443800,121.739998,122.559998,121.459999
Male,0,73,104719.66,Yes,16,Yes,Two year,No,64.25,1024,No,12818.24,198778,123.050003,1414800,122.099998,122.720001,120.43
Male,0,33,112687.57,No,10,Yes,Two year,No,25.7,251.6,No,0,210821.61,124.129997,570700,122.550003,122.949997,122.18
Female,0,22,84699.56,Yes,13,Yes,Month-to-month,Yes,56,764.55,No,11373.58,88062,124,391300,123.239998,123.110001,122.599998
Female,0,30,83473.82,No,20,Yes,Month-to-month,No,82.4,1592.35,Yes,15336.91,122404.98,124.260002,425200,123.099998,122.209999,121.949997
Female,0,49,47125.11,No,2,Yes,Month-to-month,Yes,69.7,135.2,No,2903.37,207501.2,122.760002,526300,121.809998,122.209999,121.800003
Male,0,36,106977.8,No,53,Yes,Two year,Yes,73.9,3958.25,No,73334.31,130457.96,124.449997,514700,122.580002,122.989998,122.110001
Female,0,29,55582.54,Yes,11,Yes,One year,No,20.6,233.9,No,14753.88,116603.33,124.760002,456500,123.150002,123.919998,122.910004
Male,0,31,139874.43,No,69,Yes,Two year,No,19.9,1363.45,No,16228.64,105934.67,124.480003,414100,124.18,123.940002,121.879997
Female,0,24,162503.48,No,4,Yes,Month-to-month,Yes,70.9,273,Yes,8344.75,90094.2,124.370003,464500,123.989998,124.010002,122.110001
Male,0,41,196499.96,No,72,Yes,Two year,Yes,89.05,6254.45,No,14007.96,105934.65,125.239998,526200,124,124.849998,123.589996
Male,1,39,40721.24,No,58,No,Month-to-month,Yes,45.3,2651.2,Yes,43997.82,161044,126.610001,487300,125.5,126.529999,124.839996
Female,0,24,53134.3,Yes,16,Yes,Month-to-month,No,20.4,321.4,No,33307.68,130481.56,127.660004,752300,126.82,127.660004,126.059998
Male,0,29,164017.89,No,43,Yes,One year,Yes,84.25,3539.25,No,18300.05,123105.02,128.979996,632500,127.660004,128.550003,127.260002
Female,0,27,155996.96,No,2,Yes,Month-to-month,Yes,104.4,242.8,Yes,31413.52,130457.88,128.279999,728300,127.860001,125.419998,125.379997
Male,0,44,5472.7,No,14,Yes,Two year,No,81.95,1181.75,No,123649.73,60373.82,124.839996,641100,124.389999,122.040001,122.040001
Female,0,30,112187.11,No,53,Yes,One year,Yes,94.85,5000.2,Yes,17085.77,135651.04,125.459999,655500,121.709999,125.25,121.459999
Female,0,40,146457.83,No,32,Yes,One year,No,20.55,654.55,No,16089.38,77580.4,124.050003,488900,124,123.089996,122.860001
Female,0,35,27286.1,No,34,Yes,Month-to-month,No,24.7,780.2,No,18879.06,133769.86,123.589996,741900,122.900002,122.300003,121.610001
Female,1,30,130553.47,No,15,Yes,Month-to-month,Yes,74.45,1145.7,Yes,33357.87,175345.85,125.5,713400,122.230003,125.120003,121.199997
Female,1,36,179351.89,No,7,Yes,Month-to-month,No,76.45,503.6,Yes,8000,200385.64,124.489998,1847200,124.230003,123.949997,122.669998
Female,0,40,94774.12,Yes,15,Yes,Month-to-month,Yes,105.35,1559.25,No,17071.3,122405,125,310700,124.599998,124.68,124.120003
Male,0,55,8080.85,No,61,Yes,One year,Yes,20.55,1252,No,0,208243.12,126.379997,311000,125.93,125.68,125.419998
Female,0,45,19482.5,No,1,No,Month-to-month,No,29.95,29.95,Yes,11220.57,77580.36,128.5,927700,125.870003,128.399994,125.110001
Female,0,65,48071.61,No,1,Yes,Month-to-month,No,45.3,45.3,No,20353.22,140546.85,129.759995,716500,129,129.179993,127.93
Male,0,45,174531.27,No,8,Yes,Month-to-month,No,84.5,662.65,Yes,0,207874.94,128.970001,797000,128.710007,128.089996,128.059998
Male,0,42,55470.78,Yes,33,Yes,One year,No,74.75,2453.3,No,10941.53,189853.68,128.029999,410300,127.809998,128,127.290001
Female,0,50,8546.87,No,13,Yes,Month-to-month,Yes,79.25,1111.65,Yes,119351.05,63878.03,129.679993,503600,128.419998,128.899994,128.210007
Female,0,32,95857.18,No,1,No,Month-to-month,Yes,24.8,24.8,Yes,0,207798.79,129.380005,567200,128.639999,127.989998,126.949997
Male,0,39,194945.8,No,20,Yes,Month-to-month,Yes,51.8,1023.85,No,30179.76,177528,130.720001,1504500,128.089996,129.789993,127.790001
Male,0,37,131521.72,No,3,No,Month-to-month,No,30.4,82.15,No,46493.65,158603.6,133.399994,1461900,129.169998,132.770004,129.169998
Female,0,30,196108.51,No,13,Yes,One year,No,19.65,244.8,No,0,207699.73,132.740005,1142100,132.449997,132.110001,130.029999
Female,0,34,148564.76,No,40,Yes,Month-to-month,No,56.6,2379.1,No,33362.65,173937.49,132.089996,1068500,132,131.570007,130.490005
Male,0,41,92982.61,Yes,43,Yes,One year,Yes,71.9,3173.35,No,29377.94,130434.29,132.639999,700200,131.380005,131.960007,130.889999
Male,0,36,17675.36,No,6,Yes,Month-to-month,Yes,91,531,Yes,28694.26,178526.48,132.639999,767200,131.820007,132.089996,131.119995
